,Mãos,Dedos,Local da Articulação,Movimento,Expressão Facial
265,0,0,0,0,0
266,1,1,1,1,1
267,1,1,1,1,1
268,1,1,1,1,1
269,0,0,0,0,0
270,1,1,1,1,1
271,1,1,1,1,1
272,0,0,0,0,0
273,1,1,1,1,1
274,1,1,1,1,1
275,0,0,0,0,0
276,1,1,1,1,1
277,0,0,0,0,0
278,0,0,0,0,0
279,1,1,1,1,1
280,0,0,0,0,0
281,1,1,1,1,1
282,1,1,1,1,1
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,1,1,1,1,1
290,0,0,0,0,0
291,1,1,1,1,1
292,1,1,1,1,1
293,0,0,0,0,0
294,0,0,0,0,0
295,0,0,0,0,0
296,1,1,1,1,1
297,0,0,0,0,0
298,0,0,0,0,0
299,1,1,1,1,1
300,1,1,1,1,1
301,1,1,1,1,1
302,0,0,0,0,0
303,1,1,1,1,1
304,1,1,1,1,1
305,1,1,1,1,1
306,0,0,0,0,0
307,1,1,1,1,1
308,0,0,0,0,0
309,1,1,1,1,1
310,1,1,1,1,1
311,0,0,0,0,0
312,1,1,1,1,1
313,1,1,1,1,1
314,0,0,0,0,0
315,0,0,0,0,0
316,1,1,1,1,1
317,1,1,1,1,1
318,1,1,1,1,1
319,0,0,0,0,0
320,0,0,0,0,0
321,0,0,0,0,0
322,1,1,1,1,1
323,1,1,1,1,1
324,0,0,0,0,0
325,1,1,1,1,1
326,1,1,1,1,1
327,0,0,0,0,0
328,0,0,0,0,0
329,1,1,1,1,1
330,0,0,0,0,0
331,1,1,1,1,1
332,1,1,1,1,1
333,0,0,0,0,0
334,1,1,1,1,1
335,1,1,1,1,1
336,0,0,0,0,0
337,1,1,1,1,1
338,0,0,0,0,0
339,1,1,1,1,1
340,1,1,1,1,1
341,0,0,0,0,0
342,1,1,1,1,1
343,1,1,1,1,1
344,0,0,0,0,0
345,0,0,0,0,0
346,1,1,1,1,1
347,1,1,1,1,1
348,1,1,1,1,1
349,0,0,0,0,0
350,1,1,1,1,1
351,0,0,0,0,0
352,1,1,1,1,1
353,1,1,1,1,1
354,1,1,1,1,1
355,0,0,0,0,0
356,1,1,1,1,1
357,1,1,1,1,1
358,1,1,1,1,1
359,0,0,0,0,0
360,1,1,1,1,1
361,0,0,0,0,0
362,1,1,1,1,1
363,1,1,1,1,1
364,0,0,0,0,0
365,1,1,1,1,1
366,1,1,1,1,1
367,1,1,1,1,1
368,1,1,1,1,1
369,0,0,0,0,0
370,1,1,1,1,1
371,1,1,1,1,1
372,1,1,1,1,1
373,0,0,0,0,0
374,1,1,1,1,1
375,1,1,1,1,1
376,0,0,0,0,0
377,1,1,1,1,1
378,0,0,0,0,0
379,1,1,1,1,1
380,1,1,1,1,1
381,0,0,0,0,0
382,1,1,1,1,1
383,1,1,1,1,1
384,1,1,1,1,1
385,0,0,0,0,0
386,0,0,0,0,0
387,1,1,1,1,1
388,0,0,0,0,0
389,1,1,1,1,1
390,1,1,1,1,1
391,0,0,0,0,0
392,1,1,1,1,1
393,1,1,1,1,1
394,0,0,0,0,0
395,1,1,1,1,1
396,1,1,1,1,1
397,0,0,0,0,0
398,1,1,1,1,1
399,0,0,0,0,0
400,1,1,1,1,1
401,1,1,1,1,1
402,0,0,0,0,0
403,1,1,1,1,1
404,1,1,1,1,1
405,0,0,0,0,0
406,1,1,1,1,1
407,1,1,1,1,1
408,1,1,1,1,1
409,0,0,0,0,0
410,0,0,0,0,0
411,1,1,1,1,1
412,1,1,1,1,1
413,0,0,0,0,0
414,1,1,1,1,1
415,1,1,1,1,1
416,0,0,0,0,0
417,1,1,1,1,1
418,1,1,1,1,1
419,0,0,0,0,0
420,1,1,1,1,1
421,0,0,0,0,0
422,1,1,1,1,1
423,1,1,1,1,1
424,1,1,1,1,1
425,0,0,0,0,0
426,1,1,1,1,1
427,0,0,0,0,0
428,0,0,0,0,0
429,0,0,0,0,0
430,1,1,1,1,1
431,1,1,1,1,1
432,1,1,1,1,1
433,0,0,0,0,0
434,0,0,0,0,0
435,1,1,1,1,1
436,1,1,1,1,1
437,0,0,0,0,0
438,0,0,0,0,0
439,1,1,1,1,1
440,1,1,1,1,1
441,0,0,0,0,0
442,1,1,1,1,1
443,0,0,0,0,0
444,1,1,1,1,1
445,1,1,1,1,1
446,0,0,0,0,0
447,0,0,0,0,0
448,1,1,1,1,1
449,1,1,1,1,1
450,0,0,0,0,0
451,1,1,1,1,1
452,1,1,1,1,1
453,1,1,1,1,1
454,0,0,0,0,0
455,1,1,1,1,1
456,1,1,1,1,1
457,0,0,0,0,0
458,1,1,1,1,1
459,1,1,1,1,1
460,0,0,0,0,0
461,1,1,1,1,1
462,1,1,1,1,1
463,0,0,0,0,0
464,1,1,1,1,1
465,1,1,1,1,1
466,1,1,1,1,1
467,0,0,0,0,0
468,0,0,0,0,0
469,1,1,1,1,1
470,1,1,1,1,1
471,0,0,0,0,0
472,1,1,1,1,1
473,1,1,1,1,1
474,0,0,0,0,0
475,1,1,1,1,1
476,1,1,1,1,1
477,1,1,1,1,1
478,0,0,0,0,0
479,1,1,1,1,1
480,1,1,1,1,1
481,0,0,0,0,0
482,1,1,1,1,1
483,1,1,1,1,1
484,0,0,0,0,0
485,1,1,1,1,1
486,1,1,1,1,1
487,0,0,0,0,0
488,1,1,1,1,1
489,1,1,1,1,1
490,0,0,0,0,0
491,1,1,1,1,1
492,1,1,1,1,1
493,1,1,1,1,1
494,1,1,1,1,1
495,0,0,0,0,0
496,1,1,1,1,1
497,1,1,1,1,1
498,1,1,1,1,1
499,0,0,0,0,0
500,1,1,1,1,1
501,1,1,1,1,1
502,1,1,1,1,1
503,0,0,0,0,0
504,0,0,0,0,0
505,1,1,1,1,1
506,1,1,1,1,1
507,0,0,0,0,0
508,0,0,0,0,0
509,0,0,0,0,0
510,1,1,1,1,1
511,1,1,1,1,1
512,0,0,0,0,0
513,1,1,1,1,1
514,1,1,1,1,1
515,0,0,0,0,0
516,0,0,0,0,0
517,0,0,0,0,0
518,1,1,1,1,1
519,0,0,0,0,0
520,1,1,1,1,1
521,0,0,0,0,0
522,1,1,1,1,1
523,1,1,1,1,1
524,0,0,0,0,0
525,1,1,1,1,1
526,1,1,1,1,1
527,0,0,0,0,0
528,1,1,1,1,1
529,1,1,1,1,1
530,1,1,1,1,1
531,0,0,0,0,0
532,1,1,1,1,1
533,1,1,1,1,1
534,1,1,1,1,1
535,0,0,0,0,0
536,1,1,1,1,1
537,1,1,1,1,1
538,0,0,0,0,0
539,1,1,1,1,1
540,1,1,1,1,1
541,0,0,0,0,0
542,1,1,1,1,1
543,1,1,1,1,1
